Year_Birth,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts
1976.00,1.00,1.00,53359.00,173.00,4.00,30.00,3.00,6.00
1986.00,1.00,0.00,0.00,5.00,1.00,3.00,3.00,263.00
1989.00,1.00,1.00,38360.00,36.00,2.00,42.00,20.00,21.00
1965.00,3.00,1.00,84618.00,684.00,100.00,801.00,21.00,66.00
1989.00,2.00,2.00,10979.00,8.00,4.00,10.00,2.00,2.00
1963.00,2.00,1.00,38620.00,112.00,17.00,44.00,34.00,22.00
1970.00,1.00,1.00,40548.00,110.00,0.00,5.00,2.00,0.00
1952.00,3.00,2.00,46610.00,96.00,12.00,96.00,33.00,22.00
1946.00,2.00,1.00,68657.00,482.00,34.00,471.00,119.00,68.00
1951.00,2.00,0.00,49389.00,40.00,0.00,19.00,2.00,1.00
1970.00,3.00,1.00,67353.00,702.00,17.00,151.00,0.00,8.00
1976.00,2.00,1.00,23718.00,6.00,3.00,14.00,15.00,7.00
1973.00,1.00,3.00,42429.00,55.00,0.00,6.00,2.00,0.00
1943.00,3.00,2.00,48948.00,437.00,8.00,206.00,160.00,49.00
1980.00,1.00,1.00,80011.00,421.00,76.00,536.00,82.00,178.00
1985.00,2.00,1.00,20559.00,13.00,1.00,29.00,3.00,0.00
1957.00,1.00,1.00,21994.00,9.00,0.00,6.00,3.00,1.00
1959.00,3.00,0.00,0.00,81.00,11.00,50.00,3.00,2.00
1975.00,2.00,1.00,7500.00,3.00,1.00,10.00,3.00,2.00
1976.00,1.00,0.00,79941.00,123.00,164.00,266.00,227.00,30.00
1996.00,2.00,1.00,7500.00,3.00,18.00,14.00,15.00,22.00
1968.00,1.00,1.00,41728.00,13.00,6.00,15.00,3.00,5.00
1951.00,1.00,0.00,0.00,48.00,5.00,48.00,6.00,10.00
1954.00,3.00,1.00,72550.00,826.00,50.00,317.00,50.00,38.00
1957.00,1.00,3.00,65486.00,245.00,19.00,125.00,37.00,67.00
1964.00,2.00,1.00,79143.00,650.00,37.00,780.00,27.00,167.00
1977.00,1.00,0.00,35790.00,12.00,6.00,20.00,30.00,1.00
1977.00,1.00,2.00,82582.00,510.00,120.00,550.00,156.00,40.00
1978.00,1.00,1.00,66373.00,328.00,9.00,124.00,12.00,24.00
1955.00,2.00,1.00,82384.00,984.00,51.00,432.00,180.00,120.00
1966.00,1.00,2.00,70287.00,295.00,35.00,482.00,121.00,120.00
1988.00,1.00,0.00,27938.00,13.00,0.00,8.00,2.00,1.00
1982.00,1.00,0.00,0.00,11.00,3.00,22.00,2.00,2.00
1968.00,3.00,1.00,55954.00,447.00,0.00,28.00,0.00,0.00
1982.00,2.00,0.00,75777.00,712.00,26.00,538.00,69.00,13.00
1975.00,1.00,1.00,66653.00,452.00,18.00,102.00,16.00,18.00
1952.00,1.00,0.00,61823.00,523.00,7.00,134.00,37.00,14.00
1951.00,3.00,3.00,67680.00,546.00,0.00,48.00,0.00,6.00
1948.00,1.00,1.00,70666.00,398.00,40.00,367.00,119.00,122.00
1971.00,1.00,1.00,25721.00,1.00,3.00,6.00,3.00,6.00
1967.00,1.00,1.00,32474.00,10.00,0.00,1.00,0.00,0.00
1979.00,2.00,0.00,88194.00,688.00,14.00,309.00,201.00,24.00
1958.00,1.00,1.00,69096.00,247.00,49.00,159.00,7.00,82.00
1970.00,1.00,1.00,74854.00,856.00,59.00,487.00,58.00,29.00
1954.00,2.00,1.00,66991.00,496.00,36.00,460.00,189.00,60.00
1973.00,2.00,1.00,0.00,25.00,3.00,43.00,17.00,4.00
1959.00,1.00,1.00,65031.00,258.00,107.00,291.00,84.00,37.00
1975.00,3.00,1.00,60631.00,565.00,6.00,65.00,0.00,6.00
1952.00,1.00,1.00,28332.00,14.00,10.00,13.00,4.00,15.00
1977.00,1.00,2.00,40246.00,2.00,1.00,6.00,2.00,1.00
1972.00,2.00,1.00,75251.00,721.00,111.00,925.00,97.00,18.00
1976.00,1.00,0.00,75825.00,1032.00,105.00,779.00,137.00,105.00
1976.00,2.00,1.00,26326.00,1.00,0.00,5.00,0.00,3.00
1965.00,1.00,1.00,56046.00,577.00,0.00,64.00,0.00,0.00
1985.00,1.00,0.00,29760.00,64.00,4.00,68.00,7.00,5.00
1969.00,1.00,1.00,26304.00,4.00,1.00,5.00,2.00,0.00
1973.00,2.00,1.00,23559.00,25.00,5.00,19.00,7.00,0.00
1963.00,2.00,1.00,38620.00,112.00,17.00,44.00,34.00,22.00
1987.00,1.00,2.00,81361.00,163.00,23.00,424.00,27.00,65.00
1960.00,1.00,1.00,29440.00,17.00,8.00,14.00,10.00,4.00
1970.00,2.00,1.00,36138.00,130.00,0.00,16.00,0.00,0.00
1957.00,1.00,0.00,50388.00,292.00,6.00,37.00,0.00,3.00
1973.00,1.00,1.00,79593.00,350.00,60.00,568.00,110.00,133.00
1967.00,1.00,1.00,54178.00,135.00,9.00,39.00,4.00,0.00
1957.00,3.00,1.00,0.00,230.00,42.00,192.00,49.00,37.00
1957.00,1.00,0.00,0.00,7.00,0.00,8.00,2.00,0.00
1973.00,2.00,1.00,0.00,445.00,37.00,359.00,98.00,28.00
1972.00,2.00,0.00,42394.00,15.00,2.00,10.00,0.00,1.00
1970.00,3.00,1.00,23626.00,27.00,2.00,14.00,0.00,0.00
1983.00,1.00,1.00,30096.00,5.00,3.00,11.00,12.00,5.00
1960.00,1.00,3.00,47916.00,505.00,0.00,26.00,0.00,0.00
1972.00,1.00,2.00,51813.00,51.00,2.00,7.00,0.00,1.00
1951.00,2.00,1.00,78497.00,207.00,26.00,447.00,75.00,0.00
1983.00,3.00,1.00,50150.00,135.00,46.00,92.00,65.00,61.00
1960.00,2.00,0.00,47823.00,53.00,1.00,5.00,2.00,1.00
1959.00,3.00,0.00,34554.00,41.00,1.00,6.00,2.00,0.00
1979.00,1.00,1.00,85693.00,386.00,172.00,183.00,185.00,132.00
1945.00,3.00,1.00,65846.00,562.00,81.00,276.00,80.00,40.00
1959.00,1.00,1.00,87195.00,217.00,76.00,690.00,50.00,26.00
1979.00,0.00,1.00,24594.00,1.00,3.00,6.00,10.00,0.00
1964.00,1.00,1.00,49096.00,144.00,1.00,32.00,2.00,1.00
1969.00,1.00,1.00,52413.00,295.00,106.00,271.00,75.00,98.00
1978.00,1.00,0.00,38557.00,76.00,3.00,31.00,4.00,4.00
1960.00,2.00,1.00,89058.00,454.00,194.00,106.00,31.00,22.00
1979.00,1.00,1.00,77298.00,425.00,115.00,292.00,23.00,35.00
1991.00,3.00,0.00,68126.00,1332.00,17.00,311.00,23.00,51.00
1963.00,2.00,1.00,57288.00,527.00,0.00,21.00,0.00,0.00
1991.00,1.00,0.00,86037.00,490.00,44.00,125.00,29.00,20.00
1980.00,3.00,1.00,43974.00,378.00,0.00,101.00,0.00,0.00
1962.00,1.00,0.00,50785.00,64.00,1.00,21.00,0.00,1.00
1970.00,1.00,1.00,90765.00,547.00,99.00,812.00,151.00,82.00
1978.00,2.00,1.00,36550.00,47.00,90.00,94.00,123.00,103.00
1967.00,2.00,1.00,30753.00,12.00,5.00,25.00,0.00,9.00
1969.00,1.00,1.00,21918.00,1.00,6.00,7.00,11.00,5.00
1953.00,2.00,1.00,56129.00,320.00,48.00,133.00,39.00,72.00
1967.00,2.00,0.00,32557.00,34.00,3.00,29.00,0.00,4.00
1985.00,2.00,1.00,19510.00,9.00,0.00,7.00,3.00,4.00
1976.00,1.00,2.00,30992.00,17.00,0.00,14.00,7.00,3.00
1983.00,1.00,0.00,101970.00,722.00,27.00,102.00,44.00,72.00
1965.00,2.00,1.00,71488.00,162.00,33.00,124.00,40.00,28.00
1984.00,1.00,0.00,79607.00,450.00,133.00,951.00,173.00,0.00
1953.00,2.00,1.00,54348.00,70.00,0.00,16.00,0.00,0.00
1961.00,3.00,1.00,0.00,352.00,0.00,27.00,10.00,0.00
1956.00,3.00,1.00,77376.00,492.00,19.00,110.00,16.00,12.00
1952.00,1.00,1.00,62998.00,120.00,58.00,73.00,65.00,89.00
1969.00,1.00,1.00,73448.00,236.00,106.00,189.00,23.00,41.00
1963.00,1.00,1.00,0.00,231.00,65.00,196.00,38.00,71.00
1964.00,3.00,1.00,41551.00,220.00,0.00,33.00,3.00,0.00
1967.00,3.00,1.00,62981.00,796.00,14.00,590.00,38.00,44.00
1976.00,0.00,2.00,9548.00,0.00,1.00,3.00,10.00,6.00
1959.00,3.00,1.00,33762.00,53.00,1.00,34.00,2.00,0.00
1965.00,3.00,2.00,36921.00,17.00,1.00,12.00,3.00,1.00
1992.00,2.00,0.00,92859.00,962.00,61.00,921.00,52.00,61.00
1976.00,2.00,1.00,65104.00,738.00,0.00,232.00,13.00,20.00
1962.00,1.00,1.00,86111.00,399.00,28.00,756.00,36.00,40.00
1974.00,3.00,0.00,68352.00,614.00,16.00,132.00,43.00,33.00
1988.00,1.00,1.00,41883.00,32.00,34.00,41.00,73.00,16.00
1976.00,1.00,1.00,59809.00,598.00,16.00,141.00,32.00,41.00
1975.00,1.00,1.00,23957.00,2.00,1.00,18.00,20.00,11.00
1981.00,1.00,1.00,38547.00,6.00,1.00,10.00,0.00,1.00
1973.00,2.00,1.00,35688.00,73.00,3.00,90.00,12.00,1.00
1966.00,2.00,1.00,49605.00,42.00,16.00,29.00,12.00,20.00
1953.00,2.00,1.00,59354.00,295.00,21.00,78.00,39.00,13.00
1969.00,1.00,1.00,65747.00,346.00,17.00,48.00,23.00,13.00
1972.00,2.00,1.00,46344.00,233.00,20.00,57.00,8.00,20.00
1952.00,3.00,1.00,61010.00,888.00,0.00,57.00,0.00,0.00
1949.00,1.00,1.00,69372.00,997.00,26.00,269.00,34.00,13.00
1958.00,1.00,0.00,49967.00,212.00,6.00,69.00,4.00,12.00
1978.00,1.00,0.00,60199.00,8.00,1.00,7.00,2.00,0.00
1977.00,1.00,1.00,55375.00,42.00,11.00,57.00,10.00,28.00
1955.00,1.00,0.00,80317.00,536.00,11.00,387.00,149.00,91.00
1958.00,2.00,0.00,30523.00,5.00,0.00,3.00,0.00,0.00
1945.00,3.00,1.00,70356.00,1349.00,16.00,249.00,43.00,16.00
1984.00,1.00,1.00,23228.00,53.00,3.00,49.00,7.00,4.00
1975.00,3.00,2.00,74165.00,1001.00,12.00,240.00,16.00,12.00
1973.00,3.00,1.00,157243.00,20.00,2.00,1582.00,1.00,2.00
1966.00,1.00,1.00,43482.00,18.00,1.00,32.00,6.00,3.00
1953.00,1.00,2.00,62551.00,125.00,16.00,98.00,134.00,21.00
1959.00,1.00,2.00,52332.00,212.00,5.00,33.00,7.00,0.00
1988.00,1.00,0.00,66951.00,277.00,162.00,305.00,173.00,76.00
1957.00,1.00,1.00,26091.00,15.00,10.00,19.00,8.00,17.00
1965.00,1.00,1.00,33456.00,7.00,3.00,10.00,8.00,1.00
1982.00,1.00,1.00,28718.00,12.00,4.00,6.00,11.00,8.00
1970.00,1.00,1.00,50447.00,85.00,7.00,24.00,2.00,3.00
1959.00,3.00,1.00,53537.00,81.00,0.00,6.00,0.00,0.00
1967.00,1.00,0.00,52074.00,59.00,0.00,12.00,0.00,0.00
1975.00,3.00,1.00,80427.00,1149.00,71.00,449.00,69.00,71.00
1948.00,3.00,1.00,83837.00,847.00,66.00,119.00,86.00,89.00
1970.00,3.00,1.00,38853.00,29.00,0.00,14.00,0.00,0.00
1959.00,1.00,1.00,38285.00,2.00,0.00,5.00,2.00,0.00
1951.00,2.00,1.00,78497.00,207.00,26.00,447.00,75.00,0.00
1976.00,3.00,1.00,51650.00,152.00,3.00,22.00,2.00,5.00
1988.00,2.00,1.00,16248.00,12.00,11.00,10.00,3.00,12.00
1946.00,2.00,1.00,66835.00,620.00,26.00,195.00,34.00,17.00
1984.00,2.00,1.00,30477.00,47.00,1.00,6.00,0.00,0.00
1961.00,0.00,1.00,28249.00,1.00,9.00,7.00,2.00,14.00
1983.00,1.00,1.00,25271.00,10.00,1.00,18.00,10.00,4.00
1970.00,3.00,0.00,32303.00,35.00,0.00,2.00,0.00,0.00
1966.00,1.00,1.00,61286.00,356.00,0.00,107.00,19.00,9.00
1976.00,1.00,1.00,74068.00,783.00,30.00,537.00,140.00,76.00
1964.00,3.00,1.00,45759.00,42.00,1.00,18.00,3.00,0.00
1978.00,0.00,1.00,24882.00,1.00,4.00,10.00,29.00,0.00
1989.00,3.00,1.00,66973.00,466.00,22.00,432.00,147.00,113.00
1900.00,2.00,2.00,36640.00,15.00,6.00,8.00,7.00,4.00
1988.00,1.00,1.00,38872.00,23.00,3.00,21.00,3.00,19.00
1973.00,1.00,1.00,51148.00,235.00,6.00,45.00,8.00,9.00
1977.00,1.00,1.00,31353.00,10.00,0.00,10.00,3.00,1.00
1980.00,2.00,1.00,69661.00,656.00,16.00,106.00,32.00,16.00
1954.00,1.00,1.00,80067.00,519.00,17.00,813.00,27.00,173.00
1954.00,1.00,1.00,86718.00,344.00,189.00,482.00,50.00,33.00
1973.00,3.00,0.00,46854.00,96.00,1.00,79.00,7.00,1.00
1952.00,1.00,2.00,69142.00,448.00,4.00,34.00,6.00,4.00
1968.00,1.00,0.00,75922.00,265.00,138.00,553.00,224.00,23.00
1978.00,1.00,2.00,63693.00,587.00,43.00,337.00,42.00,87.00
1977.00,3.00,1.00,102160.00,763.00,29.00,138.00,76.00,176.00
1965.00,3.00,0.00,40637.00,22.00,0.00,13.00,0.00,0.00
1984.00,2.00,0.00,18890.00,6.00,4.00,1.00,7.00,2.00
1988.00,1.00,1.00,29604.00,7.00,6.00,13.00,7.00,6.00
1963.00,2.00,2.00,48721.00,81.00,18.00,113.00,47.00,13.00
1966.00,1.00,1.00,44794.00,54.00,0.00,7.00,0.00,0.00
1954.00,1.00,2.00,64497.00,1170.00,48.00,320.00,42.00,32.00
1956.00,1.00,1.00,46097.00,72.00,24.00,68.00,65.00,4.00
1954.00,1.00,1.00,77972.00,613.00,22.00,319.00,33.00,102.00
1968.00,3.00,1.00,44377.00,224.00,0.00,30.00,0.00,0.00
1974.00,2.00,1.00,46014.00,410.00,0.00,59.00,19.00,9.00
1985.00,1.00,1.00,70951.00,239.00,10.00,554.00,254.00,87.00
1977.00,1.00,1.00,41443.00,171.00,7.00,171.00,25.00,19.00
1978.00,2.00,0.00,52195.00,12.00,0.00,4.00,0.00,0.00
1948.00,2.00,1.00,83790.00,1076.00,16.00,417.00,42.00,48.00
1954.00,2.00,3.00,44551.00,182.00,4.00,33.00,0.00,0.00
1980.00,1.00,1.00,69508.00,824.00,32.00,162.00,42.00,32.00
1988.00,2.00,1.00,45204.00,30.00,11.00,25.00,29.00,1.00
1969.00,1.00,1.00,72460.00,377.00,10.00,540.00,80.00,30.00
1970.00,3.00,1.00,77622.00,520.00,7.00,154.00,19.00,0.00
1980.00,3.00,1.00,30732.00,155.00,1.00,25.00,0.00,1.00
1962.00,1.00,2.00,63887.00,897.00,23.00,207.00,15.00,11.00
1978.00,1.00,1.00,42011.00,131.00,0.00,16.00,2.00,1.00
1976.00,1.00,1.00,51369.00,297.00,7.00,79.00,0.00,11.00
1952.00,1.00,2.00,51537.00,787.00,20.00,204.00,0.00,0.00
1972.00,3.00,1.00,79930.00,792.00,86.00,740.00,67.00,51.00
1986.00,3.00,1.00,34320.00,4.00,1.00,9.00,3.00,0.00
1966.00,1.00,0.00,37070.00,231.00,7.00,137.00,4.00,15.00
1962.00,2.00,2.00,81975.00,983.00,76.00,184.00,180.00,138.00
1971.00,1.00,1.00,38590.00,3.00,1.00,8.00,4.00,3.00
1951.00,1.00,0.00,15033.00,0.00,4.00,5.00,6.00,0.00
1965.00,3.00,1.00,62745.00,562.00,21.00,464.00,28.00,10.00
1975.00,2.00,1.00,22212.00,5.00,9.00,20.00,6.00,8.00
1982.00,2.00,1.00,23661.00,18.00,0.00,4.00,0.00,0.00
1958.00,3.00,0.00,79761.00,415.00,5.00,124.00,15.00,35.00
1973.00,1.00,0.00,7500.00,5.00,3.00,10.00,12.00,7.00
1893.00,2.00,0.00,60182.00,8.00,0.00,5.00,7.00,0.00
1968.00,1.00,3.00,73455.00,901.00,61.00,757.00,186.00,163.00
1958.00,1.00,1.00,64961.00,382.00,114.00,276.00,75.00,124.00
1971.00,1.00,0.00,22804.00,14.00,1.00,7.00,2.00,1.00
1990.00,1.00,1.00,73687.00,559.00,153.00,503.00,218.00,13.00
1958.00,1.00,1.00,61074.00,789.00,0.00,133.00,0.00,28.00
1964.00,3.00,1.00,31686.00,11.00,0.00,5.00,0.00,0.00
1972.00,1.00,1.00,80134.00,1218.00,16.00,272.00,104.00,0.00
1953.00,1.00,1.00,75027.00,925.00,64.00,179.00,133.00,12.00
1988.00,3.00,1.00,67546.00,864.00,134.00,768.00,150.00,38.00
1969.00,2.00,1.00,65176.00,960.00,28.00,183.00,220.00,70.00
1975.00,2.00,0.00,31160.00,16.00,3.00,25.00,6.00,1.00
1985.00,1.00,0.00,29938.00,3.00,3.00,7.00,0.00,2.00
1974.00,1.00,2.00,102692.00,168.00,148.00,444.00,32.00,172.00
1958.00,2.00,1.00,26490.00,45.00,47.00,52.00,21.00,20.00
1967.00,1.00,1.00,75702.00,650.00,28.00,353.00,45.00,42.00
1974.00,3.00,0.00,30899.00,24.00,0.00,8.00,0.00,0.00
1961.00,3.00,1.00,63342.00,918.00,21.00,118.00,13.00,10.00
1964.00,1.00,0.00,45989.00,138.00,33.00,87.00,28.00,24.00
1964.00,1.00,0.00,18701.00,12.00,4.00,2.00,10.00,6.00
1957.00,3.00,0.00,40737.00,11.00,0.00,4.00,0.00,0.00
1979.00,1.00,2.00,15287.00,1.00,2.00,8.00,4.00,3.00
1968.00,3.00,2.00,69674.00,554.00,41.00,215.00,11.00,0.00
1970.00,2.00,1.00,44159.00,167.00,2.00,62.00,24.00,13.00
1978.00,3.00,1.00,37717.00,9.00,0.00,6.00,4.00,1.00
1952.00,2.00,1.00,43776.00,177.00,2.00,71.00,3.00,2.00
1966.00,2.00,1.00,38179.00,38.00,4.00,22.00,4.00,2.00
1963.00,1.00,1.00,80124.00,483.00,84.00,398.00,205.00,84.00
1970.00,3.00,1.00,38097.00,77.00,2.00,35.00,0.00,1.00
1970.00,1.00,1.00,72940.00,182.00,74.00,298.00,162.00,149.00
1970.00,1.00,1.00,22070.00,10.00,7.00,19.00,8.00,2.00
1953.00,1.00,0.00,69267.00,778.00,44.00,499.00,95.00,73.00
1983.00,2.00,0.00,31788.00,16.00,7.00,23.00,0.00,8.00
1975.00,3.00,1.00,61905.00,167.00,0.00,43.00,6.00,2.00
1960.00,1.00,1.00,29315.00,13.00,2.00,14.00,8.00,7.00
1963.00,1.00,2.00,33378.00,33.00,6.00,40.00,3.00,7.00
1963.00,3.00,1.00,66313.00,625.00,7.00,99.00,10.00,22.00
1956.00,1.00,0.00,60714.00,216.00,162.00,224.00,101.00,92.00
1981.00,2.00,1.00,77882.00,68.00,129.00,396.00,188.00,22.00
1986.00,3.00,0.00,69867.00,196.00,0.00,512.00,33.00,130.00
1968.00,2.00,2.00,63841.00,635.00,15.00,100.00,20.00,7.00
1981.00,0.00,1.00,24480.00,4.00,19.00,9.00,28.00,25.00
1976.00,1.00,1.00,51369.00,297.00,7.00,79.00,0.00,11.00
1946.00,1.00,1.00,37760.00,84.00,5.00,38.00,150.00,12.00
1974.00,3.00,1.00,65640.00,204.00,7.00,149.00,20.00,15.00
1975.00,2.00,1.00,44319.00,26.00,0.00,8.00,0.00,0.00
1974.00,1.00,1.00,30631.00,15.00,6.00,20.00,4.00,5.00
1952.00,1.00,1.00,75278.00,304.00,98.00,230.00,150.00,74.00
1956.00,2.00,1.00,50898.00,285.00,28.00,242.00,55.00,114.00
1966.00,1.00,3.00,79946.00,395.00,183.00,565.00,166.00,141.00
1949.00,2.00,2.00,35416.00,248.00,3.00,81.00,4.00,3.00
1984.00,2.00,1.00,32414.00,20.00,6.00,5.00,0.00,9.00
1969.00,1.00,1.00,38361.00,39.00,0.00,56.00,20.00,8.00
1980.00,1.00,1.00,82497.00,777.00,129.00,573.00,216.00,21.00
1971.00,1.00,1.00,16626.00,8.00,3.00,22.00,21.00,1.00
1965.00,1.00,1.00,29672.00,9.00,1.00,3.00,0.00,4.00
1952.00,2.00,1.00,55951.00,1241.00,0.00,80.00,0.00,13.00
1988.00,2.00,2.00,35388.00,6.00,4.00,7.00,4.00,3.00
1986.00,2.00,1.00,42386.00,65.00,4.00,16.00,0.00,4.00
1982.00,1.00,0.00,68627.00,395.00,15.00,263.00,60.00,54.00
1965.00,3.00,2.00,57912.00,801.00,0.00,80.00,0.00,0.00
1958.00,1.00,2.00,35246.00,36.00,0.00,12.00,2.00,2.00
1956.00,2.00,1.00,58821.00,513.00,14.00,154.00,19.00,0.00
1978.00,3.00,1.00,46377.00,37.00,0.00,46.00,4.00,3.00
1988.00,1.00,0.00,39747.00,80.00,15.00,93.00,20.00,13.00
1984.00,1.00,1.00,23976.00,14.00,1.00,21.00,2.00,3.00
1961.00,2.00,1.00,80950.00,525.00,147.00,112.00,219.00,147.00
1966.00,1.00,3.00,27038.00,1.00,26.00,25.00,17.00,23.00
1947.00,1.00,0.00,77457.00,675.00,11.00,400.00,15.00,45.00
1964.00,2.00,1.00,64100.00,509.00,0.00,27.00,0.00,0.00
1992.00,2.00,1.00,42670.00,154.00,2.00,46.00,20.00,4.00
1976.00,1.00,2.00,12571.00,3.00,5.00,14.00,2.00,12.00
1967.00,1.00,1.00,22574.00,25.00,0.00,8.00,2.00,0.00
1989.00,1.00,1.00,0.00,861.00,138.00,461.00,60.00,30.00
1976.00,2.00,0.00,70893.00,768.00,44.00,561.00,77.00,44.00
1966.00,1.00,1.00,54198.00,185.00,0.00,28.00,3.00,2.00
1956.00,2.00,1.00,28839.00,24.00,0.00,7.00,0.00,0.00
1972.00,1.00,1.00,40321.00,44.00,4.00,21.00,6.00,0.00
1985.00,1.00,0.00,66503.00,91.00,64.00,128.00,65.00,3.00
1951.00,1.00,1.00,30833.00,11.00,0.00,7.00,3.00,1.00
1970.00,1.00,0.00,0.00,738.00,20.00,172.00,52.00,50.00
1971.00,1.00,1.00,64795.00,412.00,5.00,119.00,38.00,29.00
1974.00,1.00,1.00,34421.00,3.00,3.00,7.00,6.00,2.00
1965.00,3.00,2.00,47025.00,16.00,0.00,3.00,0.00,0.00
1961.00,3.00,2.00,64325.00,731.00,60.00,353.00,78.00,12.00
1953.00,1.00,0.00,40464.00,424.00,17.00,118.00,7.00,23.00
1957.00,1.00,1.00,62187.00,792.00,0.00,275.00,45.00,45.00
1976.00,3.00,2.00,14849.00,21.00,2.00,28.00,3.00,2.00
1984.00,1.00,1.00,27255.00,22.00,1.00,11.00,0.00,1.00
1950.00,3.00,1.00,54432.00,33.00,0.00,5.00,0.00,0.00
1986.00,3.00,0.00,29999.00,68.00,7.00,59.00,10.00,5.00
1983.00,1.00,0.00,24072.00,9.00,1.00,6.00,3.00,0.00
1989.00,3.00,0.00,33996.00,40.00,2.00,15.00,8.00,0.00
1956.00,3.00,1.00,66334.00,909.00,11.00,218.00,0.00,0.00
1971.00,2.00,1.00,35178.00,23.00,1.00,13.00,2.00,2.00
1983.00,1.00,1.00,22010.00,11.00,2.00,9.00,3.00,0.00
1960.00,1.00,2.00,62204.00,317.00,46.00,247.00,151.00,46.00
1968.00,1.00,2.00,75693.00,797.00,153.00,293.00,72.00,97.00
1972.00,1.00,1.00,30675.00,10.00,2.00,16.00,11.00,2.00
1965.00,1.00,1.00,83003.00,856.00,61.00,570.00,40.00,25.00
1899.00,3.00,1.00,83532.00,755.00,144.00,562.00,104.00,64.00
1988.00,1.00,0.00,68655.00,456.00,19.00,832.00,75.00,118.00
1986.00,1.00,2.00,41411.00,37.00,32.00,38.00,11.00,3.00
1969.00,3.00,1.00,55212.00,1103.00,0.00,45.00,0.00,0.00
1950.00,3.00,1.00,59292.00,378.00,14.00,68.00,19.00,14.00
1973.00,0.00,1.00,27190.00,1.00,6.00,7.00,0.00,1.00
1952.00,1.00,2.00,82623.00,204.00,34.00,204.00,172.00,153.00
1965.00,1.00,1.00,44300.00,30.00,0.00,9.00,0.00,0.00
1970.00,1.00,2.00,84835.00,189.00,104.00,379.00,111.00,189.00
1971.00,1.00,3.00,30372.00,15.00,0.00,12.00,7.00,3.00
1976.00,2.00,1.00,33181.00,9.00,0.00,3.00,0.00,0.00
1957.00,1.00,1.00,71113.00,495.00,33.00,255.00,11.00,33.00
1986.00,1.00,1.00,71952.00,656.00,80.00,455.00,52.00,107.00
1966.00,3.00,0.00,69759.00,452.00,20.00,514.00,13.00,30.00
1974.00,1.00,1.00,72099.00,546.00,91.00,410.00,119.00,0.00
1976.00,3.00,0.00,60000.00,1048.00,0.00,217.00,0.00,0.00
1978.00,1.00,0.00,38643.00,22.00,2.00,14.00,0.00,1.00
1955.00,1.00,1.00,50737.00,78.00,0.00,11.00,0.00,0.00
1969.00,3.00,1.00,68462.00,561.00,64.00,785.00,84.00,128.00
1943.00,2.00,1.00,65073.00,629.00,17.00,177.00,69.00,0.00
1948.00,3.00,1.00,46681.00,269.00,15.00,69.00,15.00,19.00
1957.00,1.00,1.00,78618.00,736.00,163.00,818.00,212.00,163.00
1969.00,3.00,3.00,62187.00,512.00,0.00,83.00,0.00,0.00
1978.00,1.00,1.00,28442.00,19.00,3.00,10.00,11.00,8.00
1978.00,3.00,1.00,37717.00,9.00,0.00,6.00,4.00,1.00
1967.00,1.00,1.00,51479.00,247.00,8.00,160.00,6.00,8.00
1969.00,1.00,0.00,54803.00,404.00,0.00,92.00,28.00,27.00
1960.00,1.00,1.00,79530.00,333.00,0.00,815.00,129.00,42.00
1976.00,1.00,2.00,31615.00,2.00,3.00,20.00,6.00,11.00
